x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,
0.515069,0.000000,0.000000,-0.224819,0.504867,0.000000,-0.093923,-0.261439,0.460317,-0.002874,-0.153916,-0.427437,
0.290250,0.504867,0.000000,-0.318742,0.243428,0.460317,-0.096797,-0.415356,0.032880,0.190578,-0.064405,-0.394558,
0.421146,-0.261439,0.460317,-0.227693,0.350951,-0.427437,0.099529,-0.171928,0.493197,-0.131038,0.025107,-0.361678,
0.196327,0.243428,0.460317,-0.321616,0.089512,0.032880,0.096655,-0.325844,0.065760,0.062414,0.114619,-0.328798,
0.512195,-0.153916,-0.427437,-0.031367,0.594379,0.032880,-0.222087,-0.082416,0.526077,-0.034383,-0.300737,-0.295918,
0.287376,0.350951,-0.427437,-0.125290,0.332940,0.493197,-0.224961,-0.236333,0.098639,0.159070,-0.211226,-0.263038,
0.418272,-0.415356,0.032880,-0.034241,0.440463,-0.394558,-0.028635,0.007095,0.558957,-0.162547,-0.121714,-0.230159,
0.193452,0.089512,0.032880,-0.128164,0.179023,0.065760,-0.031509,-0.146821,0.131519,0.030906,-0.032202,-0.197279,
0.708521,0.089512,0.032880,-0.352983,0.683891,0.065760,-0.125432,-0.408260,0.591836,0.028031,-0.186119,-0.624716,
0.483702,0.594379,0.032880,-0.446906,0.422451,0.526077,-0.128306,-0.562177,0.164399,0.221484,-0.096607,-0.591836,
0.614598,-0.171928,0.493197,-0.355857,0.529974,-0.361678,0.068021,-0.318749,0.624716,-0.100133,-0.007095,-0.558957,
0.389779,0.332940,0.493197,-0.449780,0.268535,0.098639,0.065146,-0.472665,0.197279,0.093320,0.082416,-0.526077,
0.705647,-0.064405,-0.394558,-0.159531,0.773402,0.098639,-0.253596,-0.229237,0.657596,-0.003477,-0.332940,-0.493197,
0.480828,0.440463,-0.394558,-0.253454,0.511963,0.558957,-0.256470,-0.383153,0.230159,0.189975,-0.243428,-0.460317,
0.611724,-0.325844,0.065760,-0.162405,0.619486,-0.328798,-0.060143,-0.139725,0.690476,-0.131641,-0.153916,-0.427437,
0.386905,0.179023,0.065760,-0.256328,0.358047,0.131519,-0.063018,-0.293642,0.263038,0.061811,-0.064405,-0.394558,
0.162086,0.683891,0.065760,-0.350251,0.096607,0.591836,-0.065892,-0.447558,-0.164399,0.255264,0.025107,-0.361678,
0.292982,-0.082416,0.526077,-0.259202,0.204130,-0.295918,0.130435,-0.204130,0.295918,-0.066353,0.114619,-0.328798,
0.068163,0.422451,0.526077,-0.353125,-0.057309,0.164399,0.127561,-0.358047,-0.131519,0.127100,0.204130,-0.295918,
0.384031,0.025107,-0.361678,-0.062876,0.447558,0.164399,-0.191182,-0.114619,0.328798,0.030302,-0.211226,-0.263038,
0.159211,0.529974,-0.361678,-0.156799,0.186119,0.624716,-0.194056,-0.268535,-0.098639,0.223755,-0.121714,-0.230159,
0.290108,-0.236333,0.098639,-0.065750,0.293642,-0.263038,0.002271,-0.025107,0.361678,-0.097862,-0.032202,-0.197279,
0.065288,0.268535,0.098639,-0.159673,0.032202,0.197279,-0.000603,-0.179023,-0.065760,0.095591,0.057309,-0.164399,
0.580357,0.268535,0.098639,-0.384492,0.537070,0.197279,-0.094526,-0.440463,0.394558,0.092717,-0.096607,-0.591836,
0.355538,0.773402,0.098639,-0.478415,0.275630,0.657596,-0.097400,-0.594379,-0.032880,0.286169,-0.007095,-0.558957,
0.486434,0.007095,0.558957,-0.387366,0.383153,-0.230159,0.098926,-0.350951,0.427437,-0.035447,0.082416,-0.526077,
0.261615,0.511963,0.558957,-0.481289,0.121714,0.230159,0.096052,-0.504867,-0.000000,0.158005,0.171928,-0.493197,
0.577483,0.114619,-0.328798,-0.191040,0.626581,0.230159,-0.222690,-0.261439,0.460317,0.061208,-0.243428,-0.460317,
0.352664,0.619486,-0.328798,-0.284963,0.365142,0.690476,-0.225564,-0.415356,0.032880,0.254660,-0.153916,-0.427437,
0.483560,-0.146821,0.131519,-0.193914,0.472665,-0.197279,-0.029238,-0.171928,0.493197,-0.066956,-0.064405,-0.394558,
0.258741,0.358047,0.131519,-0.287837,0.211226,0.263038,-0.032112,-0.325844,0.065760,0.126496,0.025107,-0.361678,
0.389637,-0.408260,0.591836,-0.196788,0.318749,-0.624716,0.164215,-0.082416,0.526077,-0.195120,0.114619,-0.328798,
0.164818,0.096607,0.591836,-0.290711,0.057309,-0.164399,0.161340,-0.236333,0.098639,-0.001668,0.204130,-0.295918,
0.480686,-0.300737,-0.295918,-0.000461,0.562177,-0.164399,-0.157402,0.007095,0.558957,-0.098465,-0.211226,-0.263038,
0.255867,0.204130,-0.295918,-0.094384,0.300737,0.295918,-0.160276,-0.146821,0.131519,0.094988,-0.121714,-0.230159,
0.386763,-0.562177,0.164399,-0.003335,0.408260,-0.591836,0.036051,0.096607,0.591836,-0.226629,-0.032202,-0.197279,
0.161944,-0.057309,0.164399,-0.097258,0.146821,-0.131519,0.033176,-0.057309,0.164399,-0.033176,0.057309,-0.164399,
0.677013,-0.057309,0.164399,-0.322078,0.651688,-0.131519,-0.060747,-0.318749,0.624716,-0.036051,-0.096607,-0.591836,
0.452193,0.447558,0.164399,-0.416001,0.390249,0.328798,-0.063621,-0.472665,0.197279,0.157402,-0.007095,-0.558957,
0.583089,-0.318749,0.624716,-0.324952,0.497772,-0.558957,0.132706,-0.229237,0.657596,-0.164215,0.082416,-0.526077,
0.358270,0.186119,0.624716,-0.418875,0.236333,-0.098639,0.129832,-0.383153,0.230159,0.029238,0.171928,-0.493197,
0.674138,-0.211226,-0.263038,-0.128625,0.741200,-0.098639,-0.188911,-0.139725,0.690476,-0.067559,-0.243428,-0.460317,
0.449319,0.293642,-0.263038,-0.222548,0.479761,0.361678,-0.191785,-0.293642,0.263038,0.125893,-0.153916,-0.427437,
0.580215,-0.472665,0.197279,-0.131499,0.587284,-0.526077,0.004542,-0.050214,0.723356,-0.195723,-0.064405,-0.394558,
0.355396,0.032202,0.197279,-0.225422,0.325844,-0.065760,0.001668,-0.204130,0.295918,-0.002271,0.025107,-0.361678,
0.130577,0.537070,0.197279,-0.319346,0.064405,0.394558,-0.001206,-0.358047,-0.131519,0.191182,0.114619,-0.328798,
0.261473,-0.229237,0.657596,-0.228297,0.171928,-0.493197,0.195120,-0.114619,0.328798,-0.130435,0.204130,-0.295918,
0.036654,0.275630,0.657596,-0.322220,-0.089512,-0.032880,0.192246,-0.268535,-0.098639,0.063018,0.293642,-0.263038,
0.352522,-0.121714,-0.230159,-0.031970,0.415356,-0.032880,-0.126496,-0.025107,0.361678,-0.033780,-0.121714,-0.230159,
0.127703,0.383153,-0.230159,-0.125893,0.153916,0.427437,-0.129370,-0.179023,-0.065760,0.159673,-0.032202,-0.197279,
0.258599,-0.383153,0.230159,-0.034844,0.261439,-0.460317,0.066956,0.064405,0.394558,-0.161944,0.057309,-0.164399,
0.033780,0.121714,0.230159,-0.128767,0.000000,-0.000000,0.064082,-0.089512,-0.032880,0.031509,0.146821,-0.131519,
0.548849,0.121714,0.230159,-0.353586,0.504867,-0.000000,-0.029841,-0.350951,0.427437,0.028635,-0.007095,-0.558957,
0.324029,0.626581,0.230159,-0.447510,0.243428,0.460317,-0.032715,-0.504867,-0.000000,0.222087,0.082416,-0.526077,
0.454925,-0.139725,0.690476,-0.356461,0.350951,-0.427437,0.163611,-0.261439,0.460317,-0.099529,0.171928,-0.493197,
0.230106,0.365142,0.690476,-0.450384,0.089512,0.032880,0.160737,-0.415356,0.032880,0.093923,0.261439,-0.460317,
0.545974,-0.032202,-0.197279,-0.160134,0.594379,0.032880,-0.158005,-0.171928,0.493197,,,,
0.321155,0.472665,-0.197279,-0.254057,0.332940,0.493197,-0.160879,-0.325844,0.065760,,,,
0.452051,-0.293642,0.263038,-0.163008,0.440463,-0.394558,0.035447,-0.082416,0.526077,,,,
0.227232,0.211226,0.263038,-0.256931,0.179023,0.065760,0.032573,-0.236333,0.098639,,,,
0.543100,-0.186119,-0.624716,0.033318,0.683891,0.065760,-0.286169,0.007095,0.558957,,,,
0.318281,0.318749,-0.624716,-0.060605,0.422451,0.526077,-0.289043,-0.146821,0.131519,,,,
0.449177,-0.447558,-0.164399,0.030444,0.529974,-0.361678,-0.092717,0.096607,0.591836,,,,
0.224358,0.057309,-0.164399,-0.063479,0.268535,0.098639,-0.095591,-0.057309,0.164399,,,,
0.739427,0.057309,-0.164399,-0.288298,0.773402,0.098639,-0.189514,-0.318749,0.624716,,,,
0.514608,0.562177,-0.164399,-0.382221,0.511963,0.558957,-0.192388,-0.472665,0.197279,,,,
0.645504,-0.204130,0.295918,-0.291172,0.619486,-0.328798,0.003939,-0.229237,0.657596,,,,
0.420685,0.300737,0.295918,-0.385095,0.358047,0.131519,0.001064,-0.383153,0.230159,,,,
0.736553,-0.096607,-0.591836,-0.094846,0.862914,0.131519,-0.317678,-0.139725,0.690476,,,,
0.511734,0.408260,-0.591836,-0.188769,0.601475,0.591836,-0.320552,-0.293642,0.263038,,,,
0.642630,-0.358047,-0.131519,-0.097720,0.708998,-0.295918,-0.124225,-0.050214,0.723356,,,,
0.417810,0.146821,-0.131519,-0.191643,0.447558,0.164399,-0.127100,-0.204130,0.295918,,,,
0.192991,0.651688,-0.131519,-0.285566,0.186119,0.624716,-0.129974,-0.358047,-0.131519,,,,
0.323887,-0.114619,0.328798,-0.194517,0.293642,-0.263038,0.066353,-0.114619,0.328798,,,,
0.099068,0.390249,0.328798,-0.288440,0.032202,0.197279,0.063479,-0.268535,-0.098639,,,,
0.414936,-0.007095,-0.558957,0.001810,0.537070,0.197279,-0.255264,-0.025107,0.361678,,,,
0.190117,0.497772,-0.558957,-0.092113,0.275630,0.657596,-0.258138,-0.179023,-0.065760,,,,
0.321013,-0.268535,-0.098639,-0.001064,0.383153,-0.230159,-0.061811,0.064405,0.394558,,,,
0.096194,0.236333,-0.098639,-0.094988,0.121714,0.230159,-0.064685,-0.089512,-0.032880,,,,
0.611263,0.236333,-0.098639,-0.319807,0.626581,0.230159,-0.158608,-0.350951,0.427437,,,,
0.386444,0.741200,-0.098639,-0.413730,0.365142,0.690476,-0.161482,-0.504867,-0.000000,,,,
0.517340,-0.025107,0.361678,-0.322681,0.472665,-0.197279,0.034844,-0.261439,0.460317,,,,
0.292521,0.479761,0.361678,-0.416604,0.211226,0.263038,0.031970,-0.415356,0.032880,,,,
0.608389,0.082416,-0.526077,-0.126354,0.716093,0.263038,-0.286772,-0.171928,0.493197,,,,
0.383569,0.587284,-0.526077,-0.220277,0.454654,0.723356,-0.289646,-0.325844,0.065760,,,,
0.514466,-0.179023,-0.065760,-0.129228,0.562177,-0.164399,-0.093320,-0.082416,0.526077,,,,
0.289646,0.325844,-0.065760,-0.223152,0.300737,0.295918,-0.096194,-0.236333,0.098639,,,,
0.420543,-0.440463,0.394558,-0.132103,0.408260,-0.591836,0.100133,0.007095,0.558957,,,,
0.195723,0.064405,0.394558,-0.226026,0.146821,-0.131519,0.097258,-0.146821,0.131519,,,,
0.511592,-0.332940,-0.493197,0.064224,0.651688,-0.131519,-0.221484,0.096607,0.591836,,,,
0.286772,0.171928,-0.493197,-0.029699,0.390249,0.328798,-0.224358,-0.057309,0.164399,,,,
0.417668,-0.594379,-0.032880,0.061350,0.497772,-0.558957,-0.028031,0.186119,0.624716,,,,
0.192849,-0.089512,-0.032880,-0.032573,0.236333,-0.098639,-0.030906,0.032202,0.197279,,,,
0.707918,-0.089512,-0.032880,-0.257393,0.741200,-0.098639,-0.124829,-0.229237,0.657596,,,,
0.483099,0.415356,-0.032880,-0.351316,0.479761,0.361678,-0.127703,-0.383153,0.230159,,,,
0.613995,-0.350951,0.427437,-0.260267,0.587284,-0.526077,0.068624,-0.139725,0.690476,,,,
0.389176,0.153916,0.427437,-0.354190,0.325844,-0.065760,0.065750,-0.293642,0.263038,,,,
0.705044,-0.243428,-0.460317,-0.063940,0.830712,-0.065760,-0.252993,-0.050214,0.723356,,,,
0.480225,0.261439,-0.460317,-0.157863,0.569272,0.394558,-0.255867,-0.204130,0.295918,,,,
0.611121,-0.504867,-0.000000,-0.066814,0.676795,-0.493197,-0.059540,0.039298,0.756235,,,,
0.386302,0.000000,-0.000000,-0.160737,0.415356,-0.032880,-0.062414,-0.114619,0.328798,,,,
0.161482,0.504867,-0.000000,-0.254660,0.153916,0.427437,-0.065288,-0.268535,-0.098639,,,,
0.292379,-0.261439,0.460317,-0.163611,0.261439,-0.460317,0.131038,-0.025107,0.361678,,,,
0.067559,0.243428,0.460317,-0.257534,0.000000,-0.000000,0.128164,-0.179023,-0.065760,,,,
0.383428,-0.153916,-0.427437,0.032715,0.504867,-0.000000,-0.190578,0.064405,0.394558,,,,
